stop_code,stop_name,stop_lat,stop_lon
33128,ז'בוטינסקי/שדרות בגין,31.970668,34.798466
33129,זבוטינסקי/קרית ספר,31.966558,34.799459
33285,טריגוסין/כביש 44,31.988533,34.830286
33286,מסעף משמר השבעה,32.00582,34.817845
33326,הרצל/סוקולוב,31.957388,34.802287
33331,שדרות בגין/יוהנה ז'בוטינסקי,31.971789,34.793755
33332,שד. בן גוריון/המעיין,31.969877,34.790197
33333,שדרות בן גוריון/ שדרות בגין,31.972018,34.791145
33334,בן גוריון/כצנלסון,31.966323,34.789799
33433,שדרות בגין/ז'בוטינסקי,31.971391,34.797557
33439,צומת חב''ד,31.979433,34.83654
33440,צומת בית דגן,32.002455,34.820515
33489,קניון אסף/44,31.968812,34.842185
33491,צריפין/בסיס אספקה,31.959154,34.836271
33496,מחנה צריפין/בהד 11,31.959136,34.833376
33502,מחנה צריפין,31.960555,34.835492
33503,מחנה צריפין/משטרה צבאית,31.959577,34.831812
33504,ירושלים/שלמה לוי,31.960016,34.827773
33508,בסיס מזון,31.95968,34.840204
33509,צריפין/בסיס מזון,31.961506,34.838388
33510,מחנה מצל''ח 6800,31.963589,34.836279
33512,ת. מרכזית ראשל''צ/רציפים,31.96779,34.785633
33513,ת. מרכזית רשל''צ/הורדה,31.968352,34.78533
33584,יגאל אלון/ראם,31.954575,34.815187
33587,ירושלים/שרה ואליהו,31.962236,34.810559
33588,אחד העם/הרב שלום סיבהי,31.962714,34.807644
33589,פינסקר/הרב קוק,31.96551,34.807471
33590,פינסקר/רוטשילד,31.965576,34.807358
33591,אחד העם/איתמר בן אב''י,31.963775,34.807541
33592,ירושלים/ביל''ו,31.961937,34.809041
33594,ירושלים/דוד הראובני,31.962321,34.813138
33595,ירושלים/השומר,31.962561,34.816165
33597,יגאל אלון/מישור הנוף,31.950888,34.811951
33737,צומת בית דגן,32.000365,34.821606
33815,אלי כהן/המוכתר,31.985812,34.807047
33838,אנילביץ/החלוץ,31.985965,34.789627
33872,שדרות היובל/האורנים,31.976743,34.79642
34081,משרד החקלאות/דרך המכבים,31.996519,34.817626
34278,גיבורי ישראל/השניים,31.985634,34.808744
34280,מכון וולקני/דרך המכבים,31.99368,34.814509
34309,ירושלים/הגדוד העברי,31.962129,34.811172
34310,ירושלים/דוד הראובני,31.962595,34.814639
34311,רוטשילד/וייצברד,31.96437,34.806394
34313,רמז/הר ציון,31.960073,34.791681
34314,כצנלסון/קפלן אליעזר,31.967458,34.79487
34316,יהודה הלוי/קידוש השם,31.967324,34.813064
34317,גבעתי/יהודה הלוי,31.968628,34.816534
34318,מרגולין/ברנדייס,31.969303,34.80832
34325,הרב צאלח/האגס,31.986001,34.805007
34327,שדרות רחבעם זאבי/יוסף ספיר,31.991111,34.749186
34328,בית ספר לכבאות/רחבעם זאבי,31.992489,34.746673
34330,חנה סנש/מרדכי אנילביץ,31.987599,34.78818
34331,הרב יוסף עזרן/דוד המלך,31.979253,34.785012
34332,שאול המלך/מלכי ישראל,31.979179,34.789088
34343,יוסף ספיר/שמעון ישראלי,31.99145,34.750377
34344,יוסף ספיר/השר חיים שפירא,31.993298,34.751645
34345,משה שרת/גלוסקא,31.994291,34.753068
34347,כצנלסון/לילינבלום,31.967249,34.797815
34348,כצנלסון/קפלן אליעזר,31.967515,34.795229
34351,שער ראשון/ירושלים,31.959704,34.82841
34389,מרכז קדמת ראשון/פופל,31.969951,34.815448
34416,כורש/זלמן שזר,31.995133,34.742842
34422,גן דודזון/סגל,31.971653,34.814073
34430,בן גוריון/מנחם בגין,31.970975,34.790924
34434,גבעתי/האחים סולימאן,31.964122,34.817071
34435,עזרא/שדרות יעקב,31.952632,34.820059
34443,קופת חולים/פינסקר,31.968047,34.807239
34445,אריה בן אליעזר/הורוביץ,31.959837,34.795095
34466,גולדה מאיר/החרצית,31.972742,34.786935
34467,גולדה מאיר/הסחלב,31.970922,34.786011
34481,הקישון/רמז,31.960505,34.792916
34564,הקישון/רמז,31.96046,34.79251
34566,אריה בן אליעזר/נחל שורק,31.959834,34.794987
34567,יואל דרובין/שלמה קפלנסקי,31.957363,34.799376
34579,גרינשפן/ברנשטיין,31.957041,34.814821
34589,מורדי הגטאות/זאב,31.955375,34.819032
34590,הרקפת/פטריה,31.950624,34.830783
34637,רוטשילד/הרב זינגר,31.964163,34.805928
34648,גולדה מאיר/ישראל גלילי,31.969147,34.78534
34649,חי כיף/גולדה מאיר,31.97344,34.787568
34650,יהודה הלוי/הגדוד העברי,31.966986,34.810883
34686,זלמן שז''ר/חיל הרגלים,31.995934,34.741906
34700,הכרמל/הרצל,31.96179,34.803548
34715,השומר/מזי''א,31.959361,34.814599
34767,ויניק/גן זמסקי,31.957249,34.796807
34768,מרכז ספורט/שדרות בן גוריון,31.973869,34.792138
34781,גולדה מאיר/ישראל גלילי,31.968169,34.78457
34782,ישראל גלילי/הסחלב,31.96913,34.784014
34783,ירושלים/בלפור,31.962413,34.812357
34784,מעפילי מרוקו/הנביאים,31.951739,34.830902
34798,חיל התותחנים/חיל השריון,31.998516,34.739034
34800,שדרות רחבעם זאבי/יוסף ספיר,31.990268,34.750133
34803,ישראל גלילי/זבולון המר,31.96898,34.783805
34804,העצמאות/מוליק איל,31.980258,34.801295
34813,גבעתי/שלמה אלירז,31.966235,34.81705
34817,נחמיה/הרקפת,31.950299,34.827553
34820,האלמוגים/השייטים,31.988249,34.779597
34821,האלמוגים/הרשת,31.987633,34.779064
34822,הנחשול/הלווייתן,31.988815,34.78111
34823,הנחשול/הדייגים,31.986236,34.783798
34824,הנחשול/אבא הלל סילבר,31.986176,34.783882
34825,הנחשול/הצדף,31.988601,34.781765
34826,מרכז ספורט רמת אליהו,31.984263,34.786108
34827,מרכז ספורט רמת אליהו,31.984689,34.78511
34873,ההסתדרות/חומה ומגדל,31.968202,34.779264
34905,אצל/נדב בסקינד,31.988318,34.76777
34906,מרכז מסחרי/אצ''ל,31.988689,34.766502
34907,מורדי הגטאות/האורן,31.953829,34.824892
34908,מורדי הגטאות/השזיף,31.953029,34.827898
34909,הרקפת/האמוראים,31.950472,34.830321
34910,נחמיה/יחזקאל הנביא,31.95027,34.815295
34911,יחזקאל הנביא/נחמיה,31.952266,34.814823
34912,יגאל אלון/רבי יהודה הנשיא,31.949342,34.811217
34921,נחמיה/אלפסי,31.949131,34.820019
34942,דרך המכבים/פריימן,31.977527,34.808252
34952,אצל/לישנסקי,31.989525,34.7645
34953,אצל/עליית הנוער,31.990615,34.761541
34958,מעפילי מרוקו/הנביאים,31.951681,34.830692
34960,שמוטקין/פריימן,31.975452,34.810973
34962,צבי פרנק/הגדוד העברי,31.970995,34.810534
34963,יואל דרובין/האחים סמילצ'נסקי,31.960601,34.799809
34964,יואל דרובין/צבי הירשפלד,31.958766,34.799498
34966,גלי הדר/קאונטרי,31.949244,34.787507
34968,בלבן/פיקא,31.971596,34.810355
34969,שמוטקין/ברשבסקי,31.973417,34.810803
34971,יהושע גיבשטיין/חיים בן אפרים,31.95345,34.811771
